No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,datetime,AQI_Level
11,2013,3,1,10,3,6,11,15,300,61,2.1,1027.3,-21.2,0,NNE,4.8,Wanshouxigong,01-03-2013 10:00,Good
11,2013,3,1,10,9,10,3,10,300,83,2,1025.1,-21.3,0,N,2.2,Changping,01-03-2013 10:00,Good
11,2013,3,1,10,9,9,8,17,400,72,1.4,1030.2,-22.5,0,N,5.2,Tiantan,01-03-2013 10:00,Good
11,2013,3,1,10,19,32,5,3,300,85,1,1025.1,-23.6,0,ESE,2.7,Huairou,01-03-2013 10:00,Good
12,2013,3,1,11,9,23,8,16,400,75,2.9,1029.8,-22.9,0,NNW,5.3,Tiantan,01-03-2013 11:00,Good
12,2013,3,1,11,10,11,3,16,300,87,2.4,1024.5,-22.5,0,SE,3.9,Huairou,01-03-2013 11:00,Good
12,2013,3,1,11,3,6,9,14,300,62,3.1,1027.2,-21.1,0,N,4.1,Wanshouxigong,01-03-2013 11:00,Good
12,2013,3,1,11,3,3,4,9,300,81,3.6,1024.8,-20.7,0,NNE,2.7,Changping,01-03-2013 11:00,Good
13,2013,3,1,12,3,6,4,8,300,90,4.8,1023.8,-19.7,0,N,3,Changping,01-03-2013 12:00,Good
13,2013,3,1,12,3,6,8,10,300,67,4.7,1026.3,-20.6,0,ESE,1.6,Wanshouxigong,01-03-2013 12:00,Good
13,2013,3,1,12,3,6,5,3,300,86,3.9,1023.8,-21.3,0,W,1.9,Huairou,01-03-2013 12:00,Good
13,2013,3,1,12,9,19,7,16,400,76,4,1028.6,-21.2,0,W,4.6,Tiantan,01-03-2013 12:00,Good
14,2013,3,1,13,10,34,7,12,400,81,5,1027.8,-21.2,0,NW,4.5,Tiantan,01-03-2013 13:00,Good
14,2013,3,1,13,3,101,5,9,300,89,5.8,1022.8,-20.6,0,NE,4.4,Changping,01-03-2013 13:00,Good
14,2013,3,1,13,3,9,7,9,300,70,5.5,1025.2,-20,0,NE,3.1,Wanshouxigong,01-03-2013 13:00,Good
14,2013,3,1,13,3,6,7,3,300,87,4.7,1022.8,-22.4,0,S,3.3,Huairou,01-03-2013 13:00,Good
15,2013,3,1,14,3,14,7,8,300,72,6.6,1024.9,-19.9,0,NW,2.1,Wanshouxigong,01-03-2013 14:00,Good
15,2013,3,1,14,9,60,5,6,300,94,5.9,1022.6,-20.5,0,N,3.6,Changping,01-03-2013 14:00,Good
15,2013,3,1,14,10,19,6,12,400,83,6.2,1027.6,-22.2,0,NW,4,Tiantan,01-03-2013 14:00,Good
15,2013,3,1,14,3,6,9,6,300,87,5.7,1022.3,-22.6,0,NW,1.9,Huairou,01-03-2013 14:00,Good
16,2013,3,1,15,3,34,6,7,300,94,6,1022.6,-20.4,0,N,3.2,Changping,01-03-2013 15:00,Good
16,2013,3,1,15,3,3,4,3,200,89,5.4,1022.7,-22.8,0,NE,3.1,Huairou,01-03-2013 15:00,Good
16,2013,3,1,15,3,6,6,15,400,81,6,1027.7,-21.3,0,NNW,2.1,Tiantan,01-03-2013 15:00,Good
16,2013,3,1,15,12,14,5,7,200,73,6.1,1024.7,-19.5,0,NE,2.4,Wanshouxigong,01-03-2013 15:00,Good
17,2013,3,1,16,8,22,7,14,300,82,5.6,1027.7,-20.7,0,N,1.8,Tiantan,01-03-2013 16:00,Good
17,2013,3,1,16,3,28,5,9,300,92,5.4,1022.8,-20,0,NE,2.2,Changping,01-03-2013 16:00,Good
17,2013,3,1,16,11,17,7,9,300,72,5.9,1024.7,-18.8,0,N,3.3,Wanshouxigong,01-03-2013 16:00,Good
17,2013,3,1,16,3,6,16,6,300,86,4.6,1022.7,-22.5,0,NE,3.2,Huairou,01-03-2013 16:00,Good
18,2013,3,1,17,10,28,9,21,400,75,4.4,1028.2,-20.9,0,N,3.5,Tiantan,01-03-2013 17:00,Good
18,2013,3,1,17,6,25,19,12,300,88,3.5,1023.4,-20.8,0,ENE,2,Changping,01-03-2013 17:00,Good
18,2013,3,1,17,4,10,13,12,300,80,3.4,1023.2,-21.7,0,N,2.8,Huairou,01-03-2013 17:00,Good
18,2013,3,1,17,13,18,8,14,300,67,5.3,1025.3,-19.3,0,NNW,2,Wanshouxigong,01-03-2013 17:00,Good
19,2013,3,1,18,10,18,9,20,400,58,4.1,1026.4,-19.5,0,NNE,2.2,Wanshouxigong,01-03-2013 18:00,Good
19,2013,3,1,18,4,17,40,22,600,77,2.7,1024.2,-20,0,NE,3.6,Changping,01-03-2013 18:00,Good
19,2013,3,1,18,4,12,10,15,300,76,1.2,1024.4,-21.2,0,ENE,1.4,Huairou,01-03-2013 18:00,Good
19,2013,3,1,18,11,21,10,28,500,66,3.2,1029.4,-20.3,0,NNW,0.5,Tiantan,01-03-2013 18:00,Good
20,2013,3,1,19,12,4,7,39,600,53,3,1030.1,-19.7,0,N,1.1,Tiantan,01-03-2013 19:00,Good
20,2013,3,1,19,9,18,24,22,500,68,0.8,1025.1,-20.9,0,NNE,2.3,Huairou,01-03-2013 19:00,Good
20,2013,3,1,19,7,19,37,22,600,75,2,1025.1,-19.3,0,ENE,1.7,Changping,01-03-2013 19:00,Good
20,2013,3,1,19,10,16,7,29,500,50,3.2,1027.2,-18.9,0,NE,2.1,Wanshouxigong,01-03-2013 19:00,Good
21,2013,3,1,20,20,24,22,24,500,65,0.7,1026.2,-20.4,0,NNE,4.4,Huairou,01-03-2013 20:00,Good
21,2013,3,1,20,12,16,8,30,500,60,1.6,1031.3,-19,0,ENE,1.2,Tiantan,01-03-2013 20:00,Good
21,2013,3,1,20,8,21,23,14,300,80,1.1,1025.9,-18.3,0,NE,1.7,Changping,01-03-2013 20:00,Good
21,2013,3,1,20,11,12,6,29,500,47,2.6,1028.2,-18.8,0,NE,1.9,Wanshouxigong,01-03-2013 20:00,Good
22,2013,3,1,21,7,16,34,19,300,74,1.6,1026.7,-17.4,0,E,2.3,Changping,01-03-2013 21:00,Good
22,2013,3,1,21,10,12,6,31,500,44,2.2,1029.2,-17.9,0,ENE,1.1,Wanshouxigong,01-03-2013 21:00,Good
22,2013,3,1,21,23,29,27,16,400,71,-0.2,1027.3,-20,0,NE,3.3,Huairou,01-03-2013 21:00,Good
22,2013,3,1,21,12,17,13,43,700,44,0.8,1032.4,-19.7,0,NE,1,Tiantan,01-03-2013 21:00,Good
23,2013,3,1,22,13,20,23,18,400,68,-1,1027.9,-19.6,0,NE,3.7,Huairou,01-03-2013 22:00,Good
23,2013,3,1,22,12,16,15,48,800,39,0.1,1032.9,-19.2,0,ENE,1.8,Tiantan,01-03-2013 22:00,Good
23,2013,3,1,22,10,13,11,39,500,34,2,1029.5,-18.1,0,ENE,2,Wanshouxigong,01-03-2013 22:00,Good
23,2013,3,1,22,5,13,25,16,300,76,0.4,1027.2,-17.4,0,E,0,Changping,01-03-2013 22:00,Good
24,2013,3,1,23,7,12,43,25,500,65,0.3,1027,-16.6,0,NE,1.5,Changping,01-03-2013 23:00,Good
24,2013,3,1,23,15,17,17,52,800,37,-0.5,1032.8,-19.7,0,NE,2.1,Tiantan,01-03-2013 23:00,Good
24,2013,3,1,23,13,24,50,23,400,61,-1.1,1027.4,-19.2,0,NE,3.7,Huairou,01-03-2013 23:00,Good
24,2013,3,1,23,15,15,14,41,500,31,1,1029.6,-18.4,0,ENE,1.8,Wanshouxigong,01-03-2013 23:00,Good
25,2013,3,2,0,16,17,10,33,500,56,-0.7,1033,-18.3,0,E,0.6,Tiantan,02-03-2013 00:00,Good
25,2013,3,2,0,5,10,11,35,400,39,0.5,1030.2,-18.3,0,ENE,1.4,Wanshouxigong,02-03-2013 00:00,Good
25,2013,3,2,0,15,21,44,28,500,57,-1.8,1027.3,-19.3,0,NE,4.8,Huairou,02-03-2013 00:00,Good
25,2013,3,2,0,11,13,23,16,400,69,-0.5,1027.4,-16.4,0,SW,3,Changping,02-03-2013 00:00,Good
26,2013,3,2,1,3,10,10,27,500,60,-1.6,1033.2,-17.4,0,ENE,0,Tiantan,02-03-2013 01:00,Good
26,2013,3,2,1,3,8,9,33,400,40,-0.3,1030.2,-17.5,0,E,1,Wanshouxigong,02-03-2013 01:00,Good
26,2013,3,2,1,9,16,28,17,400,67,-2.1,1027.9,-19.1,0,ENE,2.6,Huairou,02-03-2013 01:00,Good
26,2013,3,2,1,12,10,24,18,400,67,-1.8,1027.9,-16.7,0,SSW,0.9,Changping,02-03-2013 01:00,Good
27,2013,3,2,2,13,9,24,56,800,33,-1.7,1027.7,-17.4,0,SSW,1.5,Changping,02-03-2013 02:00,Good
27,2013,3,2,2,11,13,40,16,300,67,-2.2,1027.4,-19.6,0,NE,3.9,Huairou,02-03-2013 02:00,Good
27,2013,3,2,2,3,6,9,29,300,44,-1.2,1029.6,-17,0,E,0.8,Wanshouxigong,02-03-2013 02:00,Good
27,2013,3,2,2,4,8,9,25,400,57,-2.2,1032.9,-16.7,0,N,0,Tiantan,02-03-2013 02:00,Good
28,2013,3,2,3,14,24,23,42,400,57,-2.5,1027.7,-17.4,0,SW,1.7,Changping,02-03-2013 03:00,Good
28,2013,3,2,3,3,6,9,29,400,43,-2.9,1029.7,-14.9,0,N,0.1,Wanshouxigong,02-03-2013 03:00,Good
28,2013,3,2,3,8,15,27,17,400,64,-2.3,1027.1,-19.3,0,ENE,2.4,Huairou,02-03-2013 03:00,Good
28,2013,3,2,3,9,10,8,26,400,83,-3.1,1032.6,-15.8,0,N,0,Tiantan,02-03-2013 03:00,Good
29,2013,3,2,4,13,15,47,26,400,56,-3.4,1027.2,-18.1,0,W,0.6,Huairou,02-03-2013 04:00,Good
29,2013,3,2,4,14,18,24,26,400,45,-3.4,1027.5,-17,0,NW,0.8,Changping,02-03-2013 04:00,Good
29,2013,3,2,4,3,6,8,30,400,41,-2.4,1029.8,-15.5,0,N,0.2,Wanshouxigong,02-03-2013 04:00,Good
29,2013,3,2,4,3,8,7,30,500,54,-3.1,1032.7,-16.1,0,N,0,Tiantan,02-03-2013 04:00,Good
30,2013,3,2,5,8,8,6,15,300,57,-1.2,1029.2,-17.9,0,NNE,1,Wanshouxigong,02-03-2013 05:00,Good
30,2013,3,2,5,13,13,37,57,600,28,-3.5,1026.9,-16.8,0,N,0.5,Changping,02-03-2013 05:00,Good
30,2013,3,2,5,6,10,10,26,400,37,-2.4,1032.1,-18.1,0,NNE,0.8,Tiantan,02-03-2013 05:00,Good
30,2013,3,2,5,15,18,42.2688,26.4837,400,56.1204,-4.2,1026.9,-16.4,0,WNW,1.4,Huairou,02-03-2013 05:00,Good
31,2013,3,2,6,16,15,38,66,900,16,-3.5,1026.1,-15.8,0,NNE,0.9,Changping,02-03-2013 06:00,Good
31,2013,3,2,6,12,17,21,11,400,63,-4.5,1025.8,-16.4,0,E,1.9,Huairou,02-03-2013 06:00,Good
31,2013,3,2,6,5,8,11,37,500,29,-2.3,1031.3,-18.4,0,N,1.5,Tiantan,02-03-2013 06:00,Good
31,2013,3,2,6,8,8,10,31,400,37,-1.2,1028.5,-17.9,0,WNW,1.5,Wanshouxigong,02-03-2013 06:00,Good
32,2013,3,2,7,7,11,11,18,500,45,-4,1026.6,-14.2,0,E,1.2,Huairou,02-03-2013 07:00,Good
32,2013,3,2,7,3,6,15,61,700,13,-1.9,1031.9,-18.5,0,N,1.4,Tiantan,02-03-2013 07:00,Good
32,2013,3,2,7,19,25,39,63,900,18,-3.3,1026.7,-14.4,0,NNW,0.9,Changping,02-03-2013 07:00,Good
32,2013,3,2,7,3,6,16,61,600,8,-1.1,1029.2,-16.1,0,WSW,1.2,Wanshouxigong,02-03-2013 07:00,Good
33,2013,3,2,8,12,15,15,54,700,22,-0.9,1031.7,-18,0,NNE,1.6,Tiantan,02-03-2013 08:00,Good
33,2013,3,2,8,22,26,41,66,1100,14,-2,1026.4,-15.1,0,NNE,1,Changping,02-03-2013 08:00,Good
33,2013,3,2,8,14,11,61,44,600,28,-2.6,1026.6,-16.7,0,ENE,0.8,Huairou,02-03-2013 08:00,Good
33,2013,3,2,8,4,7,17,53,500,17,0,1028.8,-16.8,0,W,1.3,Wanshouxigong,02-03-2013 08:00,Good
34,2013,3,2,9,4,11,17,50,500,23,1.1,1028.9,-16.8,0,SW,1,Wanshouxigong,02-03-2013 09:00,Good
34,2013,3,2,9,29,43,53,69,1600,13,-0.2,1026.3,-16.6,0,WSW,0.5,Changping,02-03-2013 09:00,Good
34,2013,3,2,9,13,20,19,60,700,18,0.1,1031.7,-18.1,0,NE,0.5,Tiantan,02-03-2013 09:00,Good
34,2013,3,2,9,22,31,63,60,800,18,-1.2,1026.2,-16.2,0,S,0.9,Huairou,02-03-2013 09:00,Good
35,2013,3,2,10,31,49,48,33,500,43,-0.1,1025.8,-16.9,0,SSE,0.6,Huairou,02-03-2013 10:00,Good
35,2013,3,2,10,46,70,40,54,900,29,0.6,1025.8,-17.2,0,SW,1.3,Changping,02-03-2013 10:00,Good
35,2013,3,2,10,18,23,22,60,700,20,1.5,1031.2,-18,0,ENE,0.6,Tiantan,02-03-2013 10:00,Good
35,2013,3,2,10,5,14,22,52,600,20,1.9,1028.4,-17.1,0,SW,2,Wanshouxigong,02-03-2013 10:00,Good
36,2013,3,2,11,30,33,40,61,800,28,1.3,1025.4,-17.1,0,ESE,1.1,Changping,02-03-2013 11:00,Good
36,2013,3,2,11,13,18,20,61,1000,15,2.5,1027.5,-17.7,0,SW,2.1,Wanshouxigong,02-03-2013 11:00,Good
36,2013,3,2,11,27,35,79,47,600,35,1.1,1025.5,-16.8,0,WSW,1.8,Huairou,02-03-2013 11:00,Good
36,2013,3,2,11,16,22,21,64,900,17,2.6,1030.2,-18.2,0,SW,3.1,Tiantan,02-03-2013 11:00,Good
37,2013,3,2,12,36,50,73,50,700,38,2,1024.3,-18.1,0,SW,1.2,Huairou,02-03-2013 12:00,Good
37,2013,3,2,12,31,41,42,51,700,38,1.9,1024.2,-17.1,0,WSW,1.6,Changping,02-03-2013 12:00,Good
37,2013,3,2,12,26,34,26,58,900,27,3.8,1029,-17.8,0,SSW,1.1,Tiantan,02-03-2013 12:00,Good
37,2013,3,2,12,17,25,19,47,700,29,3.3,1026.2,-17.6,0,SSW,1.8,Wanshouxigong,02-03-2013 12:00,Good
38,2013,3,2,13,27,34,24,44,700,44,3.8,1027.6,-17.8,0,S,1,Tiantan,02-03-2013 13:00,Good
38,2013,3,2,13,31,47,41,39,500,48,2.2,1022.8,-17.9,0,S,1.1,Huairou,02-03-2013 13:00,Good
38,2013,3,2,13,24,28,18,35,600,43,4.2,1024.8,-16.8,0,SE,1,Wanshouxigong,02-03-2013 13:00,Good
38,2013,3,2,13,30,34,42,50,700,42,2.3,1022.6,-17.3,0,SE,0.2,Changping,02-03-2013 13:00,Good
39,2013,3,2,14,18,27,23,36,800,44,4.1,1024.1,-16.3,0,SSW,1.3,Wanshouxigong,02-03-2013 14:00,Good
39,2013,3,2,14,35,40,24,35,800,53,3.9,1026.8,-18.3,0,SSW,0.4,Tiantan,02-03-2013 14:00,Good
39,2013,3,2,14,30,32,50,59,900,36,3,1021.9,-17.3,0,S,0,Changping,02-03-2013 14:00,Good
39,2013,3,2,14,28,37,25,34,400,54,2.3,1022,-17.3,0,SW,2.1,Huairou,02-03-2013 14:00,Good
40,2013,3,2,15,35,38,48,45,1200,48,4.3,1026.2,-18,0,SSW,1.5,Tiantan,02-03-2013 15:00,Good
40,2013,3,2,15,26,31,25,50,600,40,2.8,1021.3,-17.4,0,SW,1.8,Huairou,02-03-2013 15:00,Good
40,2013,3,2,15,38,41,49,58,900,38,2.9,1020.9,-16.8,0,WSW,1.2,Changping,02-03-2013 15:00,Good
40,2013,3,2,15,34,37,44,43,1100,40,3.9,1023.5,-15.9,0,SSW,1.9,Wanshouxigong,02-03-2013 15:00,Good
41,2013,3,2,16,42,49,49,62,900,35,2.5,1020.6,-17.1,0,WNW,0.5,Changping,02-03-2013 16:00,Good
41,2013,3,2,16,48,58,52,49,1100,43,4.1,1025.4,-16.9,0,SSW,1.9,Tiantan,02-03-2013 16:00,Good
41,2013,3,2,16,29,41,27,60,700,30,2.2,1020.7,-16.8,0,SSW,1.4,Huairou,02-03-2013 16:00,Good
41,2013,3,2,16,42,56,46,44,1100,38,3.8,1022.8,-15,0,SSW,1,Wanshouxigong,02-03-2013 16:00,Good
42,2013,3,2,17,56,68,48,46,1100,37,3.1,1022.7,-14.1,0,S,1.1,Wanshouxigong,02-03-2013 17:00,Moderate
42,2013,3,2,17,36,52,44,81,800,16,1.2,1020.4,-15.8,0,W,0.9,Huairou,02-03-2013 17:00,Good
42,2013,3,2,17,44,50,50,66,900,31,2.1,1020.2,-16.4,0,E,0.7,Changping,02-03-2013 17:00,Good
42,2013,3,2,17,56,64,49,46,1000,47,3.2,1025.3,-16,0,WSW,1.3,Tiantan,02-03-2013 17:00,Moderate
43,2013,3,2,18,56,80,51,52,1100,31,2.6,1022.5,-13.7,0,S,1.3,Wanshouxigong,02-03-2013 18:00,Moderate
43,2013,3,2,18,49,52,52,51,1100,39,2.2,1025.4,-15.8,0,NE,0.4,Tiantan,02-03-2013 18:00,Good
43,2013,3,2,18,44,67,42,91,1000,5,0.1,1020.4,-15.5,0,NW,1,Huairou,02-03-2013 18:00,Good
43,2013,3,2,18,44,55,50,73,900,23,1.5,1020.4,-16,0,NE,0.7,Changping,02-03-2013 18:00,Good
44,2013,3,2,19,64,70,43,55,1100,26,1.6,1025,-15.4,0,N,0.1,Tiantan,02-03-2013 19:00,Moderate
44,2013,3,2,19,53,70,36,100,1100,2,-1.3,1019.9,-12.6,0,W,1,Huairou,02-03-2013 19:00,Moderate
44,2013,3,2,19,47,60,34,76,1000,18,0.3,1020,-15.3,0,NE,0.6,Changping,02-03-2013 19:00,Good
44,2013,3,2,19,64,88,53,67,1300,14,0.6,1022.2,-12.8,0,SSW,0.5,Wanshouxigong,02-03-2013 19:00,Moderate
45,2013,3,2,20,52,71,42,100,1800,2,-1.6,1019.7,-13.5,0,W,1.1,Huairou,02-03-2013 20:00,Moderate
45,2013,3,2,20,52,65,43,84,1300,12,0,1019.9,-15.2,0,NE,0.2,Changping,02-03-2013 20:00,Moderate
45,2013,3,2,20,72,96,63,83,1600,2,-0.2,1022.3,-11,0,W,1.1,Wanshouxigong,02-03-2013 20:00,Moderate
45,2013,3,2,20,63,75,44,72,1300,10,0.7,1025,-15.3,0,N,1,Tiantan,02-03-2013 20:00,Moderate
46,2013,3,2,21,69,76,51,82,1700,9,-1.2,1019.7,-13.7,0,N,1,Changping,02-03-2013 21:00,Moderate
46,2013,3,2,21,88,118,72,91,1800,2,-0.1,1021.8,-10.9,0,N,0.2,Wanshouxigong,02-03-2013 21:00,Moderate
46,2013,3,2,21,97,103,34,88,1600,2,-1.8,1019.6,-12.5,0,WNW,1.2,Huairou,02-03-2013 21:00,Moderate
46,2013,3,2,21,73,82,40,78,1600,4,0.5,1024.8,-15.1,0,N,0.2,Tiantan,02-03-2013 21:00,Moderate
47,2013,3,2,22,72,83,49,82,1600,8,-2.1,1019.1,-13.3,0,NNE,0.4,Changping,02-03-2013 22:00,Moderate
47,2013,3,2,22,79,79,36,76,2000,6,-1,1024.2,-14.6,0,ENE,0,Tiantan,02-03-2013 22:00,Moderate
47,2013,3,2,22,89,89,30,83,1600,2,-1.8,1019,-13.3,0,WNW,0.7,Huairou,02-03-2013 22:00,Moderate
47,2013,3,2,22,101,125,82,93,2000,2,-2.4,1021.3,-11.7,0,SSW,0.6,Wanshouxigong,02-03-2013 22:00,Unhealthy
48,2013,3,2,23,80,83,30,77,1399,2,-2.8,1018.1,-10.1,0,WNW,1.4,Huairou,02-03-2013 23:00,Moderate
48,2013,3,2,23,62,71,68,87,2000,9,-2.2,1018.2,-13.4,0,NNE,1.1,Changping,02-03-2013 23:00,Moderate
48,2013,3,2,23,98,106,39,79,2200,4,-1.3,1023.2,-14.5,0,N,0,Tiantan,02-03-2013 23:00,Moderate
48,2013,3,2,23,108,127,70,92,2100,2,-2.3,1020.3,-12.1,0,N,0.1,Wanshouxigong,02-03-2013 23:00,Unhealthy
49,2013,3,3,0,73,87,41,76,1500,7,-2.4,1017.4,-13,0,N,1,Changping,03-03-2013 00:00,Moderate
49,2013,3,3,0,84,97,39,80,2299,4,-2.2,1022.3,-12.8,0,N,0,Tiantan,03-03-2013 00:00,Moderate
49,2013,3,3,0,62,70,22,66,1300,2,-2.9,1017,-11.9,0,WNW,0,Huairou,03-03-2013 00:00,Moderate
49,2013,3,3,0,101,108,56,92,2100,2,-0.6,1019.4,-14.2,0,NE,1.3,Wanshouxigong,03-03-2013 00:00,Unhealthy
50,2013,3,3,1,50,60,36,73,1399,7,-3.8,1016.5,-12.2,0,NNW,1.4,Changping,03-03-2013 01:00,Good
50,2013,3,3,1,51,63,20,52,1000,6,-3.8,1016.2,-12.7,0,NE,0.9,Huairou,03-03-2013 01:00,Moderate
50,2013,3,3,1,77,93,62,94,2299,2,-0.1,1018.7,-14.5,0,NNE,1.4,Wanshouxigong,03-03-2013 01:00,Moderate
50,2013,3,3,1,85,93,54,83,2500,6,-1.8,1021.4,-13.3,0,W,0.7,Tiantan,03-03-2013 01:00,Moderate
51,2013,3,3,2,42,49,18,48,900,7,-4.6,1015,-11.2,0,N,0.8,Huairou,03-03-2013 02:00,Good
51,2013,3,3,2,110,119,68,87,2200,6,-2.4,1020.4,-13.3,0,E,1.3,Tiantan,03-03-2013 02:00,Unhealthy
51,2013,3,3,2,97,109,68,92,2600,2,-2.8,1017.3,-13.4,0,W,0.6,Wanshouxigong,03-03-2013 02:00,Moderate
51,2013,3,3,2,60,62,37,75,1500,7,-3.8,1015.1,-12.7,0,NNE,0.8,Changping,03-03-2013 02:00,Moderate
52,2013,3,3,3,112,119,89,86,2200,5,-3.3,1019.4,-12.5,0,ESE,1.2,Tiantan,03-03-2013 03:00,Unhealthy
52,2013,3,3,3,60,63,41,74,1600,7,-4,1014.1,-13.4,0,NE,0.7,Changping,03-03-2013 03:00,Moderate
52,2013,3,3,3,40,45,19,52,1100,2,-5.5,1014.3,-11.2,0,WNW,1.5,Huairou,03-03-2013 03:00,Good
52,2013,3,3,3,107,120,75,89,2700,2,-4.4,1016.6,-11.7,0,SSW,0.4,Wanshouxigong,03-03-2013 03:00,Unhealthy
